월,사업부,지역,채널,제품카테고리,고객세그먼트,노출수,클릭율,클릭수,세션수,전환율,주문수,판매단위수,평균단가,매출액,매출원가,매출총이익,마케팅비용,운영비용,영업이익,객단가,반품율,반품금액,이탈율,NPS,CSAT,재고수량,리드타임_일,주문이행율,정시배송율,지원티켓수,평균해결시간_시간,SLA위반건수
2024-08,Retail,Seoul,Marketplace,F-Outdoor,Mass,19874,0.02831,562,703,0.01731,12,14,67926.95,950977.35,585789.13,365188.22,151259.99,977254.86,-763326.62,79248.11,0.0632,60115.57,0.0482,29,4.02,18,7.6,0.9555,1.0,8,17.5,2
2024-08,Retail,Seoul,Marketplace,F-Outdoor,Affinity,24132,0.0347,837,989,0.0238,23,35,64262.76,2249196.48,1286914.25,962282.23,420484.39,2387278.05,-1845480.21,97791.15,0.0688,154674.24,0.0354,46,4.01,523,8.2,0.9731,0.9417,11,41.4,0
2024-08,Retail,Seoul,Marketplace,F-Outdoor,VIP,17321,0.0229,396,463,0.02763,12,7,68108.71,476760.95,303214.27,173546.67,262568.36,2243926.52,-2332948.2,39730.08,0.0259,12366.06,0.028,49,4.18,540,9.5,0.9634,0.8993,0,24.5,0
2024-08,Retail,Seoul,App,A-Standard,Mass,16656,0.02069,344,446,0.01738,7,11,29567.85,325246.32,211336.75,113909.57,184953.23,1864875.04,-1935918.7,46463.76,0.0312,10149.41,0.0273,42,3.98,260,6.4,1.0,0.9187,13,27.0,4
2024-08,Retail,Seoul,App,A-Standard,Affinity,15890,0.03097,492,607,0.02523,15,22,29128.01,640816.17,455779.85,185036.32,232998.07,911770.21,-959731.96,42721.08,0.016,10240.31,0.0292,39,4.25,564,7.5,1.0,0.9602,5,22.3,1
2024-08,Retail,Seoul,App,A-Standard,VIP,11125,0.02453,272,314,0.01965,6,8,31259.59,250076.74,174905.83,75170.9,141584.91,735103.98,-801517.99,41679.46,0.0542,13546.88,0.0303,27,4.78,613,3.8,0.9236,0.9205,17,24.3,0
2024-08,Retail,Seoul,App,B-Pro,Mass,12246,0.02686,328,412,0.02649,10,13,43027.78,559361.14,350557.77,208803.37,121431.05,688103.45,-600731.13,55936.11,0.0453,25364.64,0.0366,50,4.25,726,6.2,0.9938,0.877,11,28.2,0
2024-08,Retail,Seoul,App,B-Pro,Affinity,14228,0.02701,384,459,0.02848,13,8,45227.91,361823.3,230520.7,131302.59,147837.67,392394.02,-408929.1,27832.56,0.0364,13182.88,0.0456,48,4.51,469,8.8,0.9983,0.9223,21,20.8,0
2024-08,Retail,Seoul,App,B-Pro,VIP,10722,0.01173,125,151,0.02321,3,4,46343.13,185372.53,116021.9,69350.63,70482.66,2421559.26,-2422691.3,61790.84,0.0443,8205.83,0.0193,45,3.81,304,6.4,1.0,0.9047,7,22.5,0
2024-08,Retail,Seoul,App,C-Ultra,Mass,14059,0.01705,239,279,0.03,8,8,69340.37,554722.97,329271.06,225451.91,88148.45,44105.24,93198.22,69340.37,0.0147,8175.11,0.0294,41,4.53,460,9.3,0.9553,0.9108,7,28.9,0
2024-08,Retail,Seoul,App,C-Ultra,Affinity,15037,0.02573,386,453,0.00991,4,5,68662.62,343313.1,203992.18,139320.92,138718.46,2144577.49,-2143975.04,85828.27,0.0159,5450.18,0.0268,38,4.29,439,4.3,0.9666,0.962,12,32.4,0
2024-08,Retail,Seoul,App,C-Ultra,VIP,13407,0.02559,343,426,0.03366,14,16,67069.49,1073111.79,615812.91,457298.88,159821.94,976991.63,-679514.69,76650.84,0.0627,67314.68,0.0245,45,4.11,505,6.1,0.9817,1.0,14,14.9,0
2024-08,Retail,Seoul,App,D-Home,Mass,17135,0.0284,486,613,0.02893,17,25,56160.24,1404006.02,893578.52,510427.5,191615.74,1412034.37,-1093222.61,82588.59,0.0351,49336.57,0.0588,42,3.86,493,8.2,0.9928,0.9117,0,32.3,0
2024-08,Retail,Seoul,App,D-Home,Affinity,11335,0.02876,326,361,0.02985,10,11,57737.26,635109.86,410036.49,225073.36,166818.81,414309.86,-356055.31,63510.99,0.0326,20687.75,0.0235,53,4.2,335,5.6,0.9448,0.8135,16,31.4,4
2024-08,Retail,Seoul,App,D-Home,VIP,12350,0.02303,284,329,0.03077,10,10,55288.88,552888.8,366219.64,186669.16,79221.47,889608.49,-782160.8,55288.88,0.0338,18672.48,0.0397,11,4.12,633,6.6,0.9693,0.8849,3,35.4,4
2024-08,Retail,Seoul,App,E-Office,Mass,20978,0.02662,558,673,0.02214,14,12,59379.75,712556.98,457295.89,255261.09,181705.14,1426344.9,-1352788.95,50896.93,0.0435,31016.62,0.0484,28,3.76,0,5.1,0.9506,1.0,10,15.0,0
2024-08,Retail,Seoul,App,E-Office,Affinity,18118,0.0136,246,327,0.0297,9,13,57853.86,752100.18,451275.32,300824.86,167154.65,1183255.2,-1049584.99,83566.69,0.0168,12672.26,0.0437,41,3.91,414,9.2,0.9859,0.9158,9,14.1,0
2024-08,Retail,Seoul,App,E-Office,VIP,13830,0.02959,409,459,0.03044,13,22,58645.89,1290209.62,842722.34,447487.28,185358.51,2789063.2,-2526934.43,99246.89,0.0253,32600.64,0.0472,46,4.58,788,5.8,0.98,0.9334,20,18.0,0
2024-08,Retail,Seoul,App,F-Outdoor,Mass,13070,0.02987,390,437,0.02556,11,16,67792.09,1084673.49,641028.35,443645.14,140635.56,1796368.15,-1493358.57,98606.68,0.0145,15733.05,0.0413,51,3.97,455,9.6,0.9484,0.9147,8,29.6,0
2024-08,Retail,Seoul,App,F-Outdoor,Affinity,15545,0.01086,168,201,0.02105,4,5,64762.05,323810.27,185332.15,138478.11,150566.27,2235416.88,-2247505.04,80952.57,0.0336,10880.59,0.0209,40,4.31,654,9.8,1.0,0.8995,18,38.4,2
2024-08,Retail,Seoul,App,F-Outdoor,VIP,10785,0.02438,262,326,0.03344,10,12,64996.29,779955.5,501511.6,278443.9,141508.73,2057239.08,-1920303.91,77995.55,0.0126,9806.43,0.0247,52,4.43,544,2.0,0.8685,0.9643,13,30.8,4
2024-08,Retail,Busan,Direct,A-Standard,Mass,12969,0.02431,315,369,0.03269,12,13,29116.24,378511.14,259464.48,119046.66,144129.99,2474937.87,-2500021.2,31542.59,0.0228,8636.27,0.0406,40,4.33,493,8.2,0.9605,0.9234,9,37.4,1
2024-08,Retail,Busan,Direct,A-Standard,Affinity,11161,0.03102,346,408,0.03184,12,7,31268.88,218882.16,152916.82,65965.34,107992.96,251926.48,-293954.1,18240.18,0.0452,9892.68,0.034,64,4.63,646,4.1,0.9381,0.9227,10,35.7,0
2024-08,Retail,Busan,Direct,A-Standard,VIP,10935,0.03105,339,364,0.0275,10,19,30677.49,582872.35,404794.68,178077.67,147304.82,2663414.41,-2632641.56,58287.24,0.0195,11373.9,0.0197,34,3.99,770,6.0,0.9913,0.9502,12,53.0,0
2024-08,Retail,Busan,Direct,B-Pro,Mass,8174,0.01842,150,162,0.02351,3,4,43792.68,175170.74,119376.0,55794.73,73873.07,1514365.18,-1532443.51,58390.25,0.0431,7545.02,0.0435,26,3.83,391,3.6,0.9681,1.0,19,29.0,5
2024-08,Retail,Busan,Direct,B-Pro,Affinity,10386,0.02964,307,333,0.02371,7,11,46365.37,510019.1,336054.07,173965.03,83256.43,1451787.73,-1361079.12,72859.87,0.0332,16940.12,0.0524,26,3.46,666,8.4,0.9998,0.9241,10,17.4,0
2024-08,Retail,Busan,Direct,B-Pro,VIP,11005,0.04509,496,583,0.02754,16,23,42840.2,985324.52,623814.45,361510.06,252766.01,2761710.84,-2652966.78,61582.78,0.0577,56895.09,0.0297,43,3.85,758,5.5,0.9112,0.9712,18,46.1,1
2024-08,Retail,Busan,Direct,C-Ultra,Mass,14165,0.02351,332,442,0.02572,11,18,69502.28,1251041.04,762606.24,488434.8,127049.35,286243.03,75142.42,113731.0,0.0433,54194.05,0.0434,36,4.58,199,4.5,0.9419,0.9254,17,17.8,4
2024-08,Retail,Busan,Direct,C-Ultra,Affinity,12013,0.02395,287,333,0.03568,11,14,66817.22,935441.04,534934.36,400506.68,152060.6,1807460.52,-1559014.43,85040.09,0.0248,23164.2,0.0335,47,4.04,595,6.7,0.9106,0.903,1,30.2,0
2024-08,Retail,Busan,Direct,C-Ultra,VIP,11792,0.02338,275,337,0.03241,10,13,66999.38,870991.97,498084.3,372907.67,112693.9,2405695.35,-2145481.58,87099.2,0.0723,62929.92,0.0249,31,4.51,336,8.0,0.9535,0.9678,24,12.8,2
2024-08,Retail,Busan,Direct,D-Home,Mass,9119,0.03145,286,351,0.01497,5,5,54558.0,272790.0,168711.06,104078.94,144439.48,2961618.51,-3001979.04,54558.0,0.0279,7605.55,0.0477,22,4.48,715,6.7,0.9227,0.9028,17,26.5,0
2024-08,Retail,Busan,Direct,D-Home,Affinity,10125,0.02843,287,310,0.02026,6,6,57337.83,344026.96,223910.89,120116.08,145510.22,52210.22,-77604.37,57337.83,0.0416,14318.71,0.0321,57,3.81,852,4.4,0.9685,0.9442,22,24.5,1
2024-08,Retail,Busan,Direct,D-Home,VIP,10065,0.02195,220,272,0.02494,6,9,56331.65,506984.87,330421.82,176563.05,74412.91,1272131.04,-1169980.9,84497.48,0.0442,22433.43,0.0206,32,4.18,754,7.1,0.9637,0.8327,7,16.7,3
2024-08,Retail,Busan,Direct,E-Office,Mass,10922,0.01902,207,217,0.03649,7,6,60539.82,363238.89,218604.34,144634.56,88594.63,1801563.16,-1745523.24,51891.27,0.0273,9915.05,0.0381,48,4.15,512,6.8,0.9454,0.9131,12,24.9,1
2024-08,Retail,Busan,Direct,E-Office,Affinity,12048,0.02397,288,307,0.02476,7,14,61918.19,866854.71,511868.93,354985.79,89617.47,1366619.17,-1101250.85,123836.39,0.0299,25901.17,0.0354,56,3.84,276,7.3,0.9448,0.8792,14,17.4,2
2024-08,Retail,Busan,Direct,E-Office,VIP,10609,0.01842,195,233,0.03494,8,4,62914.59,251658.36,155269.07,96389.29,108918.43,1552746.25,-1565275.39,31457.29,0.0193,4848.14,0.0323,44,4.87,316,7.1,0.9365,0.8567,17,25.2,1
2024-08,Retail,Busan,Direct,F-Outdoor,Mass,10287,0.01881,193,232,0.0175,4,4,68157.22,272628.9,156742.76,115886.14,58301.92,1447909.38,-1390325.16,68157.22,0.0434,11825.24,0.0271,49,4.62,703,8.8,0.9736,0.9214,11,40.4,0
2024-08,Retail,Busan,Direct,F-Outdoor,Affinity,10048,0.02823,283,373,0.02533,9,12,67221.34,806656.09,515798.8,290857.29,123661.33,742504.64,-575308.68,89628.45,0.0435,35071.68,0.0458,46,4.11,532,8.9,0.9615,0.9269,7,18.6,1
2024-08,Retail,Busan,Direct,F-Outdoor,VIP,9025,0.01524,137,178,0.01946,3,5,67658.29,338291.45,202758.89,135532.57,70881.31,2814774.79,-2750123.54,112763.82,0.0279,9446.85,0.0413,53,4.48,452,6.8,0.9601,0.8931,13,20.7,0
2024-08,Retail,Busan,Partner,A-Standard,Mass,10253,0.03104,318,378,0.02823,10,18,30015.16,540272.82,370199.01,170073.81,194079.48,2443594.11,-2467599.78,54027.28,0.0333,17978.9,0.0387,50,4.65,566,9.4,0.9312,0.9297,13,28.5,3
2024-08,Retail,Busan,Partner,A-Standard,Affinity,10070,0.02756,277,327,0.03094,10,19,28927.49,549622.4,380718.25,168904.14,123375.48,1525254.3,-1479725.63,54962.24,0.0381,20938.88,0.0395,26,4.54,726,9.4,0.9789,0.8919,9,40.8,5
2024-08,Retail,Busan,Partner,A-Standard,VIP,7619,0.02545,193,215,0.03037,6,8,29914.97,239319.78,159435.26,79884.52,88712.48,318085.85,-326913.81,39886.63,0.04,9573.76,0.0252,59,4.03,688,7.2,1.0,0.9837,11,46.9,1
2024-08,Retail,Busan,Partner,B-Pro,Mass,8908,0.0347,309,343,0.02022,6,10,45635.61,456356.13,297143.67,159212.46,145621.59,1373865.13,-1360274.27,76059.35,0.04,18233.76,0.0489,38,4.11,494,6.3,0.9377,0.9471,4,37.0,0
2024-08,Retail,Busan,Partner,B-Pro,Affinity,7657,0.01535,117,129,0.03596,4,4,43743.37,174973.49,109388.83,65584.66,84060.86,1108157.1,-1126633.29,43743.37,0.0231,4040.2,0.0246,36,3.92,698,5.0,0.9356,1.0,15,32.5,0
2024-08,Retail,Busan,Partner,B-Pro,VIP,9588,0.03203,307,397,0.02985,11,18,44269.64,796853.58,517112.42,279741.16,140590.16,2647202.03,-2508051.03,72441.23,0.0508,40446.64,0.0322,37,4.55,338,5.9,0.9368,0.8469,9,37.1,0
2024-08,Retail,Busan,Partner,C-Ultra,Mass,8860,0.0287,254,330,0.02896,9,13,69022.34,897290.43,512159.79,385130.65,109645.24,1335555.46,-1060070.06,99698.94,0.0416,37286.31,0.0369,44,3.97,479,6.2,0.9634,0.9176,11,17.1,0
2024-08,Retail,Busan,Partner,C-Ultra,Affinity,5994,0.02019,121,138,0.01562,2,4,70592.63,282370.53,178385.59,103984.94,35113.53,1446107.47,-1377236.06,141185.27,0.0611,17250.31,0.0339,43,4.25,663,10.0,0.9841,0.9435,11,28.3,1
2024-08,Retail,Busan,Partner,C-Ultra,VIP,8078,0.0153,123,153,0.02304,3,4,69243.43,276973.74,160123.24,116850.5,72458.85,2463074.48,-2418682.84,92324.58,0.0411,11384.24,0.0349,31,4.29,657,9.1,0.9378,0.9144,9,37.3,0
2024-08,Retail,Busan,Partner,D-Home,Mass,8589,0.02533,217,265,0.02008,5,5,57410.57,287052.84,183488.92,103563.92,94476.28,148392.33,-139304.69,57410.57,0.0202,5807.98,0.0555,33,4.16,368,6.3,0.9619,0.9201,17,22.8,0
